,ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,CLM_AMT,CLM_COUNT,EXPOSURE
42,364483168,0,1943-04-09,56.0,0,0.0,0.0,No,64000.0,Yes,F,PhD,Home Maker,65,Private,13220,1,Minivan,no,No,0,12.0,Highly Rural/ Rural,0,0,0.213
43,866093378,0,1950-03-07,49.0,0,12.0,115000.0,No,312000.0,No,F,PhD,Doctor,18,Private,17900,1,Minivan,no,No,0,14.0,Highly Urban/ Urban,0,0,1.0
44,515421877,0,1961-05-30,38.0,0,11.0,38000.0,No,139000.0,Yes,F,High School,Clerical,47,Private,12080,1,SUV,no,No,2,9.0,Highly Rural/ Rural,0,0,1.0
45,173737852,0,1956-06-01,43.0,2,17.0,145000.0,No,419000.0,Yes,F,Masters,Unknown,38,Commercial,29450,6,Van,no,No,0,15.0,Highly Urban/ Urban,0,0,1.0
46,745183922,0,1949-06-30,50.0,0,8.0,167000.0,No,,No,F,PhD,Doctor,22,Private,34150,4,Sports Car,no,No,3,1.0,Highly Urban/ Urban,0,0,1.0
47,298271736,0,1936-11-04,63.0,0,15.0,121000.0,No,343000.0,Yes,F,PhD,Doctor,10,Private,16270,1,SUV,no,No,0,11.0,Highly Urban/ Urban,0,0,1.0
48,70821537,0,1947-08-12,52.0,0,0.0,0.0,No,88000.0,No,F,High School,Student,48,Commercial,9280,1,SUV,no,No,1,6.0,Highly Rural/ Rural,0,0,1.0
49,258951025,0,1964-10-24,35.0,0,7.0,15000.0,No,,Yes,M,Bachelors,Student,22,Commercial,6450,1,Pickup,no,No,0,7.0,Highly Urban/ Urban,0,0,0.537
50,807174588,0,1956-11-16,43.0,0,13.0,75000.0,No,271000.0,Yes,F,Bachelors,Manager,40,Private,23080,1,Sports Car,no,No,0,8.0,Highly Urban/ Urban,0,0,1.0
51,514538041,0,1958-10-06,41.0,0,10.0,33000.0,No,,No,F,High School,Clerical,44,Private,20120,4,Minivan,no,No,0,1.0,Highly Rural/ Rural,0,0,1.0
52,25561360,0,1959-04-08,40.0,0,11.0,57000.0,No,186000.0,Yes,M,Bachelors,Clerical,5,Commercial,29270,4,Panel Truck,yes,No,1,5.0,Highly Urban/ Urban,0,0,1.0
53,753037176,0,1968-08-07,31.0,1,12.0,27000.0,No,154000.0,Yes,M,Bachelors,Student,62,Commercial,4600,6,Minivan,yes,No,2,5.0,Highly Urban/ Urban,0,0,1.0
54,883748009,0,1952-10-27,47.0,0,8.0,18000.0,No,,Yes,F,High School,Student,35,Commercial,19450,6,SUV,no,No,5,,Highly Urban/ Urban,0,0,1.0
55,31827166,0,1946-01-06,53.0,0,,107000.0,No,344000.0,Yes,M,Masters,Professional,36,Private,29230,10,Minivan,yes,No,0,15.0,Highly Urban/ Urban,0,0,0.873
56,680782638,0,1960-06-05,39.0,3,7.0,34000.0,No,183000.0,Yes,F,High School,Clerical,33,Private,4040,6,SUV,no,No,0,5.0,Highly Rural/ Rural,0,0,1.0
57,883604551,0,1966-05-20,33.0,3,14.0,32000.0,No,153000.0,Yes,M,Below High Sc,Clerical,40,Private,12270,18,Minivan,yes,No,3,1.0,Highly Urban/ Urban,0,0,1.0
58,714473703,0,1940-01-02,59.0,0,5.0,107000.0,No,,No,M,Masters,Lawyer,10,Private,31930,1,Minivan,yes,No,0,,Highly Urban/ Urban,0,0,0.054
59,213057541,0,1957-01-29,42.0,0,,53000.0,No,176000.0,Yes,M,High School,Blue Collar,24,Commercial,23450,1,Minivan,no,No,2,11.0,Highly Rural/ Rural,0,0,1.0
60,885280620,0,1959-04-26,40.0,0,11.0,17000.0,No,,No,M,Below High Sc,Blue Collar,20,Commercial,12230,4,Pickup,yes,Yes,13,6.0,Highly Urban/ Urban,6100,3,0.348
61,931739722,0,1958-07-15,41.0,2,7.0,18000.0,Yes,149000.0,No,F,Below High Sc,Clerical,29,Private,14480,1,Minivan,yes,Yes,2,1.0,Highly Urban/ Urban,0,0,1.0
62,939401184,1,1962-01-20,37.0,2,13.0,,Yes,,No,F,High School,Blue Collar,62,Commercial,9360,4,Sports Car,no,No,0,,Highly Urban/ Urban,6195,2,0.354
63,840809480,0,1963-06-29,36.0,3,12.0,56000.0,No,138000.0,Yes,M,Masters,Lawyer,15,Private,10700,6,Minivan,no,No,2,16.0,Highly Urban/ Urban,0,0,0.12
64,800426023,0,1954-12-02,44.0,2,15.0,16000.0,No,134000.0,Yes,F,High School,Home Maker,37,Private,10520,1,SUV,no,No,1,1.0,Highly Urban/ Urban,8841,1,1.0
65,14827139,0,1943-02-07,56.0,0,16.0,45000.0,No,165000.0,Yes,M,Bachelors,Manager,30,Private,21770,13,Minivan,yes,No,0,6.0,Highly Urban/ Urban,0,0,1.0
66,212687745,1,1953-12-30,45.0,1,14.0,64000.0,No,196000.0,Yes,F,Masters,Lawyer,50,Private,32340,6,Van,no,Yes,0,13.0,Highly Urban/ Urban,2117,1,1.0
67,224701093,0,1965-04-16,34.0,3,12.0,23000.0,No,124000.0,Yes,M,High School,Clerical,26,Private,14690,4,Minivan,yes,Yes,0,1.0,Highly Rural/ Rural,1230,2,1.0
68,401200262,0,1951-09-23,48.0,0,,,No,253000.0,Yes,M,Bachelors,Professional,14,Commercial,28560,13,Panel Truck,yes,No,1,10.0,Highly Urban/ Urban,0,0,1.0
69,926073051,1,1955-10-12,44.0,2,,24000.0,Yes,,No,M,Bachelors,Clerical,24,Private,14220,4,Minivan,no,No,0,10.0,Highly Urban/ Urban,3532,2,1.0
70,45830738,0,1966-07-25,33.0,4,12.0,21000.0,No,76000.0,Yes,F,High School,Home Maker,46,Private,6880,13,SUV,no,No,0,1.0,Highly Urban/ Urban,866,2,1.0
71,997497927,0,1966-12-06,32.0,3,14.0,55000.0,No,147000.0,Yes,F,High School,Professional,20,Private,10040,4,SUV,no,Yes,0,8.0,Highly Urban/ Urban,0,0,0.72
72,862203239,0,1965-10-20,34.0,0,8.0,14000.0,No,87000.0,No,F,Below High Sc,Clerical,13,Private,2920,4,Sports Car,no,Yes,2,10.0,Highly Urban/ Urban,7786,2,0.243
73,116102677,1,1961-11-06,38.0,4,12.0,2000.0,No,73000.0,Yes,F,Below High Sc,Home Maker,35,Private,22690,10,Pickup,no,No,2,1.0,Highly Urban/ Urban,0,0,1.0
74,635101571,0,1964-02-18,35.0,2,12.0,,Yes,,No,F,Below High Sc,Blue Collar,43,Private,9730,5,SUV,no,No,4,4.0,Highly Urban/ Urban,5426,2,1.0
75,793404097,2,1955-01-02,44.0,2,14.0,46000.0,No,157000.0,Yes,F,Below High Sc,Blue Collar,27,Private,1500,4,Sports Car,no,No,8,,Highly Urban/ Urban,0,0,1.0
76,62434528,2,1956-05-10,43.0,3,11.0,137000.0,Yes,,No,F,Masters,Manager,29,Private,19510,1,Sports Car,no,No,0,15.0,Highly Urban/ Urban,4148,3,1.0
77,935079846,0,1950-09-05,49.0,0,9.0,,No,,No,M,PhD,Unknown,31,Commercial,33710,3,Panel Truck,no,Yes,2,18.0,Highly Urban/ Urban,0,0,1.0
78,948288985,0,1953-10-25,46.0,0,10.0,80000.0,No,,No,F,Bachelors,Manager,13,Private,14050,3,Minivan,no,Yes,2,11.0,Highly Urban/ Urban,0,0,0.006
79,396323054,0,1953-12-03,45.0,1,11.0,186000.0,No,509000.0,Yes,F,PhD,Lawyer,28,Private,10250,1,SUV,no,No,6,20.0,Highly Urban/ Urban,0,0,0.495
80,299024508,0,1953-01-01,46.0,0,14.0,,No,398000.0,No,M,Masters,Unknown,22,Commercial,33320,4,Panel Truck,yes,Yes,1,12.0,Highly Urban/ Urban,0,0,1.0
81,39392545,0,1954-11-08,45.0,0,11.0,62000.0,No,214000.0,Yes,M,Masters,Unknown,30,Commercial,10910,13,Pickup,yes,No,0,,Highly Urban/ Urban,0,0,1.0
82,536604822,0,1951-07-23,48.0,0,9.0,62000.0,No,195000.0,Yes,M,Masters,Unknown,40,Commercial,23230,6,Panel Truck,yes,No,1,17.0,Highly Urban/ Urban,0,0,0.75
83,429992959,0,1936-09-16,63.0,0,9.0,74000.0,No,,No,F,PhD,Doctor,11,Private,27600,1,SUV,no,No,0,18.0,Highly Urban/ Urban,0,0,0.003
84,160577728,0,1955-02-18,44.0,0,9.0,75000.0,No,231000.0,Yes,F,Bachelors,Professional,9,Private,23640,6,Minivan,no,No,0,1.0,Highly Urban/ Urban,0,0,0.309
85,108385737,1,1954-03-07,45.0,2,11.0,102000.0,Yes,,No,M,Bachelors,Professional,25,Private,1500,1,Minivan,yes,No,2,11.0,Highly Urban/ Urban,2371,6,1.0
86,414142186,0,1937-09-17,62.0,0,15.0,41000.0,No,208000.0,Yes,F,High School,Clerical,57,Private,9170,4,Sports Car,no,Yes,2,7.0,Highly Urban/ Urban,4178,3,1.0
87,421217157,0,1950-11-24,48.0,0,0.0,0.0,No,99000.0,Yes,F,High School,Home Maker,50,Private,8660,3,Sports Car,no,No,3,,Highly Urban/ Urban,0,0,0.879
88,935010485,1,1962-02-10,37.0,2,12.0,,No,205000.0,Yes,F,Bachelors,Blue Collar,43,Commercial,5200,1,SUV,no,No,1,3.0,Highly Urban/ Urban,4804,5,1.0
89,537840281,0,1964-08-27,35.0,0,,29000.0,No,,No,F,Below High Sc,Clerical,49,Private,4860,10,Sports Car,no,No,0,1.0,Highly Urban/ Urban,0,0,0.414
90,748139140,0,1951-08-13,48.0,0,12.0,32000.0,No,165000.0,Yes,M,High School,Clerical,14,Commercial,9640,13,Pickup,no,No,4,1.0,Highly Urban/ Urban,1354,4,1.0
91,601118153,0,1959-12-26,39.0,0,11.0,34000.0,No,,No,F,Bachelors,Clerical,27,Private,10850,1,SUV,no,No,2,12.0,Highly Urban/ Urban,0,0,1.0
92,808304017,0,1950-05-30,49.0,0,0.0,0.0,No,159000.0,Yes,F,Masters,Professional,42,Private,6400,10,SUV,no,No,6,14.0,Highly Urban/ Urban,0,0,1.0
93,803325269,0,1955-07-24,44.0,2,15.0,139000.0,Yes,317000.0,No,F,High School,Blue Collar,35,Commercial,22050,10,Sports Car,no,No,0,1.0,Highly Rural/ Rural,0,0,1.0
94,701235200,0,1948-12-22,50.0,0,13.0,163000.0,No,448000.0,No,F,PhD,Lawyer,42,Private,22830,1,Minivan,no,No,0,14.0,Highly Rural/ Rural,0,0,1.0
95,916609661,0,1969-10-03,30.0,1,10.0,17000.0,Yes,141000.0,No,F,Below High Sc,Blue Collar,50,Private,12380,13,Minivan,no,No,0,6.0,Highly Rural/ Rural,0,0,1.0
96,469714824,0,1945-11-03,54.0,0,,71000.0,No,241000.0,Yes,M,Bachelors,Manager,61,Private,14000,6,Minivan,no,No,0,11.0,Highly Urban/ Urban,0,0,0.711
97,46606719,0,1961-09-06,38.0,0,0.0,0.0,No,,Yes,M,High School,Student,41,Commercial,17470,10,Van,no,No,5,6.0,Highly Rural/ Rural,0,0,0.693
98,454040458,0,1946-04-09,53.0,0,6.0,38000.0,No,153000.0,Yes,F,High School,Blue Collar,32,Commercial,13140,1,SUV,no,No,4,1.0,Highly Urban/ Urban,2425,3,1.0
99,951246359,0,1946-03-30,53.0,0,13.0,41000.0,No,151000.0,No,F,Bachelors,Manager,21,Private,15360,1,SUV,no,No,0,8.0,Highly Urban/ Urban,0,0,1.0
100,389315422,0,1969-11-28,29.0,1,10.0,38000.0,Yes,203000.0,No,M,High School,Professional,15,Private,15160,6,Minivan,no,No,0,1.0,Highly Urban/ Urban,0,0,1.0
101,180660768,0,1941-01-20,58.0,0,11.0,91000.0,No,,No,M,Masters,Lawyer,23,Private,10620,6,Pickup,no,No,0,,Highly Urban/ Urban,0,0,1.0
102,184578161,0,1944-07-25,55.0,0,7.0,46000.0,No,173000.0,Yes,F,Masters,Lawyer,5,Private,19380,6,Minivan,no,No,0,13.0,Highly Urban/ Urban,0,0,1.0
103,59798468,0,1944-09-17,55.0,0,,85000.0,No,227000.0,Yes,M,Bachelors,Blue Collar,21,Commercial,5760,1,Pickup,yes,No,6,11.0,Highly Urban/ Urban,0,0,0.957
104,957817015,0,1943-11-04,56.0,0,8.0,38000.0,No,191000.0,Yes,F,High School,Clerical,28,Private,16220,4,SUV,no,No,0,,Highly Rural/ Rural,0,0,0.39
105,402443529,0,1959-12-20,39.0,2,0.0,0.0,No,69000.0,Yes,F,High School,Home Maker,36,Private,8750,4,Sports Car,no,No,0,8.0,Highly Urban/ Urban,0,0,1.0
106,298667574,2,1955-06-26,44.0,2,13.0,143000.0,No,365000.0,Yes,M,Masters,Manager,28,Private,21790,6,Minivan,yes,No,2,9.0,Highly Urban/ Urban,0,0,1.0
107,303462460,0,1965-05-13,34.0,0,11.0,52000.0,No,,No,M,Masters,Lawyer,36,Private,18110,1,Van,yes,No,3,15.0,Highly Urban/ Urban,0,0,1.0
108,629946797,0,1965-08-08,34.0,3,0.0,0.0,No,66000.0,Yes,F,High School,Home Maker,25,Private,11740,9,SUV,no,No,2,1.0,Highly Urban/ Urban,5711,3,1.0
109,783473090,0,1963-01-06,36.0,0,11.0,105000.0,No,268000.0,Yes,M,Masters,Professional,24,Private,13800,7,Minivan,yes,Yes,4,17.0,Highly Urban/ Urban,0,0,1.0
110,8565171,0,1958-10-13,41.0,0,10.0,66000.0,No,159000.0,Yes,M,Masters,Lawyer,59,Private,12230,4,Minivan,yes,No,1,9.0,Highly Urban/ Urban,13105,3,1.0
111,950995873,0,1953-04-30,46.0,0,7.0,,No,,No,M,Masters,Unknown,17,Commercial,23350,13,Panel Truck,yes,No,6,17.0,Highly Urban/ Urban,4061,3,0.993
112,867703916,0,1954-03-08,45.0,0,12.0,32000.0,No,,No,F,High School,Clerical,33,Private,13770,4,SUV,no,No,0,1.0,Highly Urban/ Urban,0,0,1.0
113,593582812,0,1957-07-31,42.0,0,9.0,76000.0,No,218000.0,Yes,M,Bachelors,Blue Collar,18,Commercial,23390,13,Panel Truck,yes,No,0,14.0,Highly Urban/ Urban,0,0,1.0
114,22340563,1,1961-05-25,38.0,3,16.0,8000.0,No,114000.0,Yes,M,Below High Sc,Clerical,26,Private,8080,1,Pickup,yes,No,0,8.0,Highly Rural/ Rural,0,0,0.423
115,679555193,0,1966-02-16,33.0,4,0.0,0.0,Yes,,No,M,High School,Student,14,Commercial,15090,1,Minivan,yes,No,2,5.0,Highly Urban/ Urban,7838,3,1.0
116,161607403,0,1962-08-01,37.0,0,0.0,,No,74000.0,Yes,F,Bachelors,Student,48,Commercial,12850,7,SUV,no,No,3,6.0,Highly Urban/ Urban,3660,4,1.0
117,700623278,1,1957-01-05,42.0,1,9.0,33000.0,No,161000.0,Yes,F,Masters,Lawyer,63,Private,21690,1,Minivan,no,No,2,14.0,Highly Urban/ Urban,0,0,1.0
118,755810990,0,1951-11-20,47.0,0,11.0,45000.0,No,218000.0,Yes,F,Bachelors,Professional,50,Private,12840,1,SUV,no,No,0,10.0,Highly Urban/ Urban,5125,2,0.828
119,464090162,0,1956-11-11,43.0,1,0.0,0.0,No,70000.0,Yes,F,Bachelors,Home Maker,26,Private,8350,1,SUV,no,No,3,7.0,Highly Urban/ Urban,0,0,1.0
120,170483243,0,1947-06-06,52.0,0,9.0,69000.0,No,217000.0,No,F,Bachelors,Blue Collar,36,Commercial,15120,1,Minivan,no,No,3,10.0,Highly Rural/ Rural,0,0,1.0
121,421316364,0,1956-10-08,43.0,0,11.0,133000.0,No,314000.0,No,M,Masters,Professional,8,Commercial,30150,16,Panel Truck,no,No,0,1.0,Highly Urban/ Urban,0,0,1.0
122,505563410,0,1935-01-06,64.0,0,15.0,32000.0,No,197000.0,Yes,M,Below High Sc,Blue Collar,23,Commercial,14620,6,SUV,no,No,0,1.0,Highly Urban/ Urban,5085,7,0.192
123,813759954,0,1933-01-21,66.0,1,17.0,97000.0,No,326000.0,Yes,M,Masters,Professional,23,Private,11180,7,SUV,no,No,0,16.0,Highly Urban/ Urban,0,0,1.0
124,37074844,0,1939-02-24,60.0,0,9.0,126000.0,No,,No,M,PhD,Unknown,21,Commercial,7500,9,Pickup,yes,No,4,15.0,Highly Urban/ Urban,0,0,0.942
125,130470336,2,1963-12-08,35.0,4,6.0,155000.0,Yes,398000.0,No,F,Bachelors,Blue Collar,27,Private,20450,6,SUV,no,No,3,1.0,Highly Urban/ Urban,0,0,0.864
126,637739719,0,1947-04-23,52.0,0,7.0,64000.0,No,245000.0,Yes,M,Below High Sc,Blue Collar,33,Commercial,7900,4,Pickup,yes,No,1,5.0,Highly Urban/ Urban,2143,4,0.753
127,427956603,0,1947-09-11,52.0,0,11.0,79000.0,No,270000.0,Yes,F,High School,Manager,23,Private,13150,11,SUV,no,No,2,1.0,Highly Urban/ Urban,0,0,1.0
128,993272296,0,1943-07-26,56.0,2,14.0,192000.0,No,472000.0,Yes,M,PhD,Unknown,31,Commercial,21100,1,Van,yes,No,0,,Highly Urban/ Urban,6484,6,1.0
129,880941719,1,1961-06-08,38.0,1,7.0,,No,,Yes,F,High School,Student,40,Private,7050,4,Sports Car,no,No,0,10.0,Highly Rural/ Rural,0,0,1.0
130,765577228,0,1944-05-08,55.0,0,15.0,108000.0,No,330000.0,Yes,F,Masters,Manager,18,Private,12320,1,SUV,no,Yes,0,15.0,Highly Urban/ Urban,0,0,1.0
131,879477038,0,1951-12-14,47.0,0,14.0,,No,276000.0,Yes,M,Bachelors,Manager,48,Private,21320,1,Van,yes,No,0,13.0,Highly Urban/ Urban,0,0,1.0
132,718294261,0,1962-09-30,37.0,0,12.0,124000.0,No,384000.0,Yes,M,Bachelors,Blue Collar,14,Commercial,17550,1,Van,no,No,0,,Highly Urban/ Urban,0,0,0.03
133,538875785,0,1952-07-06,47.0,0,13.0,45000.0,No,160000.0,Yes,M,Bachelors,Clerical,33,Commercial,29210,6,Panel Truck,yes,No,0,,Highly Urban/ Urban,0,0,0.516
134,106556153,0,1973-03-04,26.0,0,8.0,53000.0,No,,No,M,Bachelors,Professional,28,Commercial,20920,3,Van,yes,No,1,8.0,Highly Urban/ Urban,4028,5,0.417
135,199037688,1,1938-09-05,61.0,2,17.0,42000.0,No,169000.0,Yes,F,Masters,Manager,35,Private,20870,1,Sports Car,no,No,0,21.0,Highly Urban/ Urban,0,0,1.0
136,602893924,0,1958-10-22,41.0,1,8.0,126000.0,Yes,,No,F,Masters,Manager,34,Commercial,32690,3,Pickup,no,No,2,18.0,Highly Urban/ Urban,2114,2,1.0
137,52095937,3,1959-06-19,40.0,3,9.0,76000.0,No,248000.0,Yes,F,High School,Blue Collar,53,Commercial,13050,5,Sports Car,no,Yes,0,6.0,Highly Rural/ Rural,0,0,1.0
138,351243985,0,1947-03-06,52.0,0,16.0,77000.0,No,249000.0,No,M,Bachelors,Professional,44,Private,19540,6,Minivan,yes,Yes,0,11.0,Highly Urban/ Urban,0,0,1.0
139,838970447,0,1941-07-29,58.0,1,8.0,150000.0,No,422000.0,Yes,F,Masters,Manager,21,Private,24240,6,Pickup,no,No,0,17.0,Highly Urban/ Urban,0,0,1.0
